Benchmark,InputData,ID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy
gaussian,1008,0,Fan2,871058893.52,9.46,140100,1301739416.02,10.74,107584,10.74,105294.45,4.54,10.85,0.24,0.18,0.24,6.04,6.04,84369422962.52,10.08,10.74,90.32,3.98,75.19,1.50,0.08,92.03,1,0.08,7.97,14.46,15.96,18.79,18.77,18.77,6358.27,2034648,6363.46,2036306,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.50,7.02,32,50
gaussian,1008,1,Fan1,728346456.69,9.59,4425,1088008530.18,9.59,4064,1.25,69.26,0.13,57.34,0.29,0.00,0.30,7.54,7.54,71511811023.62,1.05,9.59,53.23,0.13,1.47,3.29,0.12,92.52,1,0.07,7.48,29.00,31.52,45.99,44.01,44.01,5,1600,5.22,1672,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.08,20.44,64,100
gaussian,1008,2,Fan2,871096073.77,9.46,140106,1301815325.70,10.74,107584,10.74,104946.74,4.54,10.88,0.24,0.18,0.24,6.06,6.06,84350981558.60,10.10,10.74,90.53,3.98,75.11,1.44,0.08,92.12,1,0.08,7.88,14.44,15.94,18.33,18.32,18.32,6358.27,2034648,6362.33,2035947,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.53,7.07,32,50
gaussian,1008,3,Fan1,733134920.63,9.67,4409,1092964616.40,9.67,4032,1.25,68.65,0.13,57.79,0.29,0.00,0.30,7.61,7.61,72595238095.24,1.05,9.67,53.23,0.13,1.47,3.43,0.12,92.17,1,0.08,7.83,28.98,31.50,45.78,43.81,43.81,5,1600,5.22,1672,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.98,20.28,64,100
gaussian,1008,4,Fan2,871910363.31,9.47,140092,1303271416.52,10.75,107456,10.75,105329.19,4.53,10.82,0.24,0.18,0.24,6.03,6.03,84530077427.04,9.96,10.75,89.71,3.97,74.91,1.48,0.08,91.92,1,0.08,8.08,14.46,15.96,18.28,18.27,18.27,6340.92,2029094,6346.68,2030938,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.50,7.03,32,50
gaussian,1008,5,Fan1,756198347.11,9.73,4374,1129218319.56,9.73,3872,1.26,70.25,0.13,56.42,0.28,0.00,0.30,7.44,7.44,75347107438.02,1.06,9.73,53.24,0.13,1.47,3.30,0.12,92.40,1,0.08,7.60,28.95,31.48,45.37,43.41,43.41,5,1600,5.22,1672,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.05,20.39,64,100
gaussian,1008,6,Fan2,872540250.45,9.44,140043,1304331892.27,9.44,107328,9.08,105644.06,4.52,9.14,0.24,0.18,0.24,5.99,5.99,84375670840.79,9.08,9.44,86.12,3.96,73.06,1.40,0.08,92.03,1,0.08,7.97,14.48,15.97,17.57,17.56,17.56,6328.37,2025078,6332.43,2026377,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.44,6.94,32,50
gaussian,1008,7,Fan1,791666666.67,9.41,4541,1181640625,9.41,3840,1.21,70.83,0.12,55.91,0.28,0.00,0.30,7.38,7.38,76258333333.33,1.01,9.41,53.24,0.12,1.47,3.08,0.11,92.88,1,0.07,7.12,28.93,31.45,45.24,43.29,43.29,5,1600,5.22,1672,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.08,20.44,64,100
gaussian,1008,8,Fan2,871577380.95,9.43,140133,1302819630.46,10.63,107520,10.63,104460.71,4.52,10.87,0.24,0.18,0.24,6.06,6.06,84136309523.81,9.72,10.63,90.10,3.96,74.69,1.47,0.08,91.93,1,0.08,8.07,14.46,15.96,18.27,18.25,18.25,6328.37,2025078,6333.40,2026687,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.46,6.97,32,50
gaussian,1008,9,Fan1,738911290.32,9.77,4395,1107064852.15,9.77,3968,1.25,71.46,0.12,55.36,0.28,0.00,0.29,7.31,7.31,73943548387.10,1.03,9.77,53.24,0.12,1.47,3.39,0.12,92.09,1,0.08,7.91,28.91,31.43,44.79,42.86,42.86,5,1600,5.22,1672,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.04,20.38,64,100
