Benchmark,InputData,ID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy
gaussian,1008,0,Fan2,870821114.37,9.31,142073,1301556390.52,10.60,109120,10.60,100869.86,4.62,11.35,0.26,0.18,0.26,6.50,6.50,83052492668.62,9.92,10.60,89.96,3.92,75.24,1.42,0.08,91.79,1,0.08,8.21,14.51,15.96,17.34,17.33,17.33,6555.94,2097900,6560.76,2099444,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.99,7.80,32,50
gaussian,1008,1,Fan1,742097701.15,6.89,6203,1113505747.13,6.89,5568,0.94,68.71,0.09,57.80,0.29,0.00,0.30,7.46,7.46,52339080459.77,0.67,6.89,50.75,0.09,1.47,3.57,0.12,92.36,1,0.08,7.64,28.95,31.53,48.89,46.74,46.74,4.90,1568,5.12,1640,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.09,20.46,64,100
gaussian,1008,2,Fan2,871294393.89,9.33,142046,1302094034.34,10.62,109024,10.62,106304.75,4.62,10.76,0.25,0.18,0.25,6.17,6.17,83198415027.88,9.96,10.62,90.51,3.92,75.09,1.45,0.08,91.70,1,0.08,8.30,14.49,15.94,17.44,17.42,17.42,6555.94,2097900,6561.70,2099744,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.51,7.04,32,50
gaussian,1008,3,Fan1,728070175.44,7.17,5970,1090704191.03,7.17,5472,0.98,68.33,0.09,58.07,0.29,0.00,0.30,7.50,7.50,53456140350.88,0.70,7.17,50.75,0.09,1.47,3.68,0.12,92.22,1,0.08,7.78,28.93,31.50,49.47,47.30,47.30,4.90,1568,5.12,1640,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.17,20.58,64,100
gaussian,1008,4,Fan2,870709885.60,9.28,142035,1301241505.33,10.60,109088,10.60,106092.98,4.61,10.74,0.25,0.18,0.25,6.17,6.17,82752420064.54,9.98,10.60,90.94,3.91,75.40,1.40,0.08,91.88,1,0.08,8.12,14.51,15.96,17.31,17.29,17.29,6537.80,2092095,6543.06,2093778,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.39,6.85,32,50
gaussian,1008,5,Fan1,710714285.71,7.19,5944,1060952380.95,7.19,5600,0.98,67.67,0.09,58.57,0.29,0.00,0.30,7.57,7.57,52291428571.43,0.70,7.19,50.75,0.09,1.47,3.59,0.12,92.09,1,0.08,7.91,28.91,31.48,47.52,45.43,45.43,4.90,1568,5.12,1640,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.98,20.29,64,100
gaussian,1008,6,Fan2,870925110.13,9.34,141881,1301622919.73,9.34,108960,8.90,100293.31,4.60,9.61,0.26,0.18,0.26,6.51,6.51,83280763582.97,8.90,9.34,86.48,3.91,73.18,1.45,0.08,91.78,1,0.08,8.22,14.52,15.98,17.63,17.62,17.62,6524.46,2087828,6528.51,2089122,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,5.04,7.88,32,50
gaussian,1008,7,Fan1,709039548.02,7.13,6013,1061234698.68,7.13,5664,0.97,68.76,0.09,57.59,0.29,0.00,0.30,7.45,7.45,51802259887.01,0.69,7.13,50.75,0.09,1.47,3.55,0.12,92.14,1,0.08,7.86,28.88,31.45,47.15,45.08,45.08,4.90,1568,5.12,1640,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.02,20.34,64,100
gaussian,1008,8,Fan2,869762672.14,9.31,142046,1299840072.27,10.54,109216,10.54,104479.26,4.60,10.88,0.25,0.18,0.25,6.25,6.25,82889246996.78,10.06,10.54,91.25,3.90,75.48,1.45,0.09,91.66,1,0.08,8.34,14.50,15.96,17.39,17.37,17.37,6524.46,2087828,6529.38,2089401,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.66,7.28,32,50
gaussian,1008,9,Fan1,729411764.71,7.17,5947,1092830882.35,7.17,5440,0.98,73.33,0.09,53.95,0.27,0.00,0.28,6.99,6.99,53523529411.76,0.70,7.17,50.75,0.09,1.47,3.31,0.12,92.26,1,0.08,7.74,28.86,31.43,44.76,42.79,42.79,4.90,1568,5.12,1640,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.14,20.54,64,100
gaussian,1008,10,Fan2,871475770.93,9.32,141993,1302562102.30,10.54,108960,10.54,104764.01,4.60,10.79,0.25,0.18,0.25,6.23,6.23,83141556534.51,10.07,10.54,90.61,3.90,75.28,1.46,0.08,91.80,1,0.08,8.20,14.49,15.94,17.80,17.79,17.79,6524.46,2087828,6528.73,2089193,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.56,7.13,32,50
gaussian,1008,11,Fan1,709302325.58,7.29,5869,1065891472.87,7.29,5504,0.99,76.06,0.09,51.96,0.26,0.00,0.27,6.74,6.74,52982558139.53,0.71,7.29,50.76,0.09,1.48,3.35,0.12,92.17,1,0.08,7.83,28.84,31.40,44.76,42.79,42.79,4.90,1568,5.12,1640,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.41,20.95,64,100
gaussian,1008,12,Fan2,870816206.69,9.29,141912,1301309576.24,10.52,108992,10.52,100438.19,4.59,11.25,0.26,0.18,0.26,6.48,6.48,82855549031.12,10.45,10.52,88.89,3.90,75.16,1.47,0.08,91.75,1,0.08,8.25,14.51,15.96,17.88,17.87,17.87,6506.38,2082040,6511.26,2083604,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.89,7.64,32,50
